TV,Radio,Newspaper,Sales
248.4,30.2 ,20.3     ,2
170.2,7.8  ,35.2     ,1
276.7,2.3  ,23.7     ,1
165.6,10   ,17.6     ,1
156.6,2.6  ,8.3      ,1
218.5,5.4  ,27.4     ,1
56.2 ,5.7  ,29.7     ,0
287.6,43   ,71.8     ,2
253.8,21.3 ,30       ,1
205  ,45.1 ,19.6     ,2
139.5,2.1  ,26.6     ,1
191.1,28.7 ,18.2     ,1
286  ,13.9 ,3.7      ,1
18.7 ,12.1 ,23.4     ,0
39.5 ,41.1 ,5.8      ,1
75.5 ,10.8 ,6        ,0
17.2 ,4.1  ,31.6     ,0
166.8,42   ,3.6      ,1
149.7,35.6 ,6        ,1
38.2 ,3.7  ,13.8     ,0
94.2 ,4.9  ,8.1      ,0
177  ,9.3  ,6.4      ,1
283.6,42   ,66.2     ,2
232.1,8.6  ,8.7      ,1
